neg-Covid-19-AstraZeneca;neg-Covid-19-Coronavac-Sinovac/Butantan;neg-Vacina covid-19 - BNT162b2 - BioNTech/Fosun Pharma/Pfizer;nul-Covid-19-AstraZeneca;nul-Covid-19-Coronavac-Sinovac/Butantan;nul-Vacina covid-19 - BNT162b2 - BioNTech/Fosun Pharma/Pfizer;pos-Covid-19-AstraZeneca;pos-Covid-19-Coronavac-Sinovac/Butantan;pos-Vacina covid-19 - BNT162b2 - BioNTech/Fosun Pharma/Pfizer
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
;;;;;;0.0;1.0;0.0
